id,Character,char_words
S1e5,LOIS:,1145
S1e4,PETER:,931
S1e2,LOIS:,857
S1e1,LOIS:,843
S1e7,LOIS:,830
S1e3,STEWIE:,780
S1e5,PETER:,712
S1e6,PETER:,669
S1e4,LOIS:,657
S1e2,PETER:,641
S1e7,PETER:,631
S1e3,MEG:,591
S1e1,PETER:,555
S1e3,PETER:,523
S1e5,JOE:,463
S1e6,lS:,437
S1e5,WEED:,421
S1e7,ANNOUNCER:,420
S1e4,STEWIE:,413
S1e6,lNGHAM:,399
S1e3,LOIS:,352
S1e1,STEWIE:,344
S1e2,MAN:,305
S1e2,QUAGMIRE:,272
S1e7,DIANE:,271
S1e6,lE:,270
S1e4,PARENT:,265
S1e3,GUY:,258
S1e3,CHRIS:,247
S1e6,TREE:,245
S1e6,"NARRATOR:",238
S1e6,LEADER:,224
S1e2,STEWIE:,214
S1e2,CHRIS:,210
S1e2,"NARRATOR:",202
S1e1,PRIEST:,195
S1e4,BERT:,189
S1e6,LENNY:,175
S1e1,"NARRATOR:",170
S1e1,JUDGE:,155
S1e7,BRIAN:,147
S1e6,lAN:,144
S1e2,ANNOUNCER:,136
S1e1,BRIAN:,132
S1e3,JENNIFER:,129
S1e1,GUY:,128
S1e4,FAN:,127
S1e4,GUY:,125
S1e6,lDER:,125
S1e3,DOCTOR:,122
S1e7,COP:,122
S1e6,MEG:,121
S1e5,PAT:,116
S1e3,JESSE:,115
S1e7,STEWIE:,110
S1e1,EMCEE:,108
S1e5,BONNIE:,102
S1e5,DISPATCH:,95
S1e1,MEG:,87
S1e7,MEG:,87
S1e4,CHRIS:,85
S1e2,TV:,82
S1e1,DEVIL:,79
S1e3,WOMAN:,78
S1e1,ANNOUNCER:,77
S1e4,PATRIOT:,77
S1e4,SINGERS:,70
S1e7,REFEREE:,70
S1e2,VOICE:,69
S1e7,STAGEHAND:,68
S1e1,DICK:,67
S1e1,JOHN:,65
S1e5,COP:,65
S1e4,GUYS:,62
S1e1,PAT:,56
S1e1,MAILWOMAN:,55
S1e5,BRIAN:,53
S1e2,TOM:,51
S1e1,JESTER:,46
S1e5,PLAYER:,43
S1e5,MEG:,38
S1e1,GUARD:,37
S1e1,DIRECTOR:,36
S1e1,CLERK:,34
S1e5,GRANNY:,32
S1e7,MAN:,32
S1e2,DOCTOR:,31
S1e4,MAN:,25
S1e2,KIRK:,24
S1e5,STEWIE:,23
S1e1,RICK:,19
S1e4,"NARRATOR:",15
S1e5,MALE:,15
S1e5,WOMAN:,15
S1e3,DRIVER:,13
S1e2,ERNIE:,11
S1e5,TELETUBBIES:,11
S1e2,MEG:,9
S1e5,CHRIS:,9
S1e1,ED:,6
S1e6,TREES:,6
S1e3,LEADER:,4
S1e7,CHRIS:,4
S1e3,MAN:,3
S1e5,MAN:,3
S1e2,GUY:,2
S1e5,GUY:,2
S1e1,WEED:,1
