word_count,season,episode
3451,1,1
3162,1,2
3256,1,3
3080,1,4
3450,1,5
3217,1,6
2886,1,7
3104,2,1
3293,2,2
2560,2,3
2724,2,4
3189,2,5
3253,2,6
3204,2,7
2796,3,1
2989,3,2
2800,3,3
2936,3,4
2563,3,5
2944,3,6
2836,3,7
2807,4,1
2886,4,2
2367,4,3
2727,4,4
3077,4,5
3223,4,6
2952,4,7
2961,5,1
3330,5,2
2962,5,3
3448,5,4
3313,5,5
3224,5,6
3514,5,7
4585,6,1
3075,6,2
2978,6,3
3232,6,4
3309,6,5
3226,6,6
3470,6,7
3027,7,1
3433,7,2
2496,7,3
2985,7,4
3154,7,5
2931,7,6
2662,7,7
2969,8,1
3357,8,2
3171,8,3
3236,8,4
3024,8,5
3386,8,6
3531,8,7
6999,9,1
3115,9,2
3211,9,3
3034,9,4
2850,9,5
4031,9,6
5629,9,7
3623,10,1
2663,10,2
3164,10,3
3122,10,4
3342,10,5
3713,10,6
3082,10,7
2921,11,1
3364,11,2
3525,11,3
2377,11,4
3090,11,5
2728,11,6
2977,11,7
3222,12,1
3297,12,2
3417,12,3
2939,12,4
2984,12,5
3090,12,6
3033,12,7
4949,13,1
3253,13,2
3341,13,3
3106,13,4
2901,13,5
3219,13,6
2863,13,7
3115,14,1
3505,14,2
3278,14,3
2820,14,4
3312,14,5
3085,14,6
3372,14,7
3556,15,1
3115,15,2
3111,15,3
3443,15,4
3078,15,5
3192,15,6
3222,15,7
2831,16,1
3235,16,2
2693,16,3
2704,16,4
2139,16,5
2654,16,6
2860,16,7
2797,17,1
2990,17,2
2678,17,3
2522,17,4
3229,17,5
3007,17,6
2752,17,7
2773,18,1
3274,18,2
2794,18,3
3088,18,4
3087,18,5
3453,18,6
2841,18,7
2994,19,1
3165,19,2
2815,19,3
3078,19,4
3112,19,5
2943,19,6
2634,19,7
3093,20,1
3171,20,2
2937,20,3
3003,20,4
2744,20,5
3155,20,6
2946,20,7
2618,21,1
2887,21,2
3067,21,3
2691,21,4
3202,21,5
2963,21,6
2975,21,7
